"city","latitude","stAddress1","stationName","landMark","lastCommunicationTime","id","availableDocks","totalDocks","altitude","stAddress2","longitude","statusValue","testStation","location","postalCode","statusKey","availableBikes"
"",40.72043411,"Greenwich St & N Moore St","Greenwich St & N Moore St","","2015-12-11 11:53:02 AM",329,18,31,"","",-74.01020609,"In Service",False,"","",1,12
"",40.71450451,"Reade St & Broadway","Reade St & Broadway","","2015-12-11 11:54:35 AM",330,8,39,"","",-74.00562789,"In Service",False,"","",1,29
"",40.71173107,"Pike St & Monroe St","Pike St & Monroe St","","2015-12-11 11:50:55 AM",331,26,27,"","",-73.99193043,"In Service",False,"","",1,1
"",40.71219906,"Cherry St","Cherry St","","2015-12-11 11:53:42 AM",332,15,24,"","",-73.97948148,"In Service",False,"","",1,9
"",40.74238787,"W 20 St & 7 Ave","W 20 St & 7 Ave","","2015-12-11 11:52:43 AM",334,6,31,"","",-73.99726235,"In Service",False,"","",1,25
"",40.72903917,"Washington Pl & Broadway","Washington Pl & Broadway","","2015-12-11 11:54:11 AM",335,2,27,"","",-73.99404649,"In Service",False,"","",1,25
"",40.73047747,"Sullivan St & Washington Sq","Sullivan St & Washington Sq","","2015-12-11 11:53:42 AM",336,12,36,"","",-73.99906065,"In Service",False,"","",1,24
"",40.7037992,"Old Slip & Front St","Old Slip & Front St","","2015-12-11 11:54:22 AM",337,2,37,"","",-74.00838676,"In Service",False,"","",1,34
"",40.72580614,"Avenue D & E 12 St","Avenue D & E 12 St","","2015-12-11 11:52:59 AM",339,24,24,"","",-73.97422494,"In Service",False,"","",1,0
"",40.71269042,"Madison St & Clinton St","Madison St & Clinton St","","2015-12-11 11:54:22 AM",340,22,27,"","",-73.98776323,"In Service",False,"","",1,5
"",40.71782143,"Stanton St & Mangin St","Stanton St & Mangin St","","2015-12-11 11:54:37 AM",341,8,19,"","",-73.97628939,"In Service",False,"","",1,9
"",40.71739973,"Columbia St & Rivington St","Columbia St & Rivington St","","2015-12-11 11:54:09 AM",342,27,29,"","",-73.98016555,"In Service",False,"","",1,2
"",40.69794,"Clinton Ave & Flushing Ave","Clinton Ave & Flushing Ave","","2015-12-11 11:54:08 AM",343,19,23,"","",-73.96986848,"In Service",False,"","",1,3
"",40.6851443,"Monroe St & Bedford Ave","Monroe St & Bedford Ave","","2015-12-11 11:51:49 AM",344,15,23,"","",-73.95380904,"In Service",False,"","",1,8
"",40.73649403,"W 13 St & 6 Ave","W 13 St & 6 Ave","","2015-12-11 11:53:36 AM",345,5,35,"","",-73.99704374,"In Service",False,"","",1,25
"",40.73652889,"Bank St & Hudson St","Bank St & Hudson St","","2015-12-11 11:51:15 AM",346,27,27,"","",-74.00618026,"In Service",False,"","",1,0
"",40.728846,"Greenwich St & W Houston St","Greenwich St & W Houston St","","2015-12-11 11:53:01 AM",347,3,35,"","",-74.008591,"In Service",False,"","",1,29
"",40.72490985,"W Broadway & Spring St","W Broadway & Spring St","","2015-12-11 11:54:32 AM",348,15,42,"","",-74.00154702,"In Service",False,"","",1,27
"",40.71850211,"Rivington St & Ridge St","Rivington St & Ridge St","","2015-11-08 05:13:07 PM",349,3,3,"","",-73.98329859,"Not In Service",False,"","",3,0
"",40.71559509,"Clinton St & Grand St","Clinton St & Grand St","","2015-12-11 11:52:31 AM",350,27,28,"","",-73.9870295,"In Service",False,"","",1,1
"",40.70530954,"Front St & Maiden Ln","Front St & Maiden Ln","","2015-12-11 11:51:06 AM",351,2,39,"","",-74.00612572,"In Service",False,"","",1,34
"",40.76340613,"W 56 St & 6 Ave","W 56 St & 6 Ave","","2015-12-11 11:53:48 AM",352,7,36,"","",-73.97722479,"In Service",False,"","",1,28
"",40.68539567,"S Portland Ave & Hanson Pl","S Portland Ave & Hanson Pl","","2015-12-11 11:52:42 AM",353,27,27,"","",-73.97431458,"In Service",False,"","",1,0
"",40.69363137,"Emerson Pl & Myrtle Ave","Emerson Pl & Myrtle Ave","","2015-12-11 11:52:47 AM",354,18,23,"","",-73.96223558,"In Service",False,"","",1,5
"",40.71602118,"Bayard St & Baxter St","Bayard St & Baxter St","","2015-12-11 11:53:36 AM",355,7,43,"","",-73.99974372,"In Service",False,"","",1,34
"",40.71622644,"Bialystoker Pl & Delancey St","Bialystoker Pl & Delancey St","","2015-12-11 11:51:06 AM",356,5,23,"","",-73.98261206,"In Service",False,"","",1,18
"",40.73261787,"E 11 St & Broadway","E 11 St & Broadway","","2015-12-11 11:53:08 AM",357,7,27,"","",-73.99158043,"In Service",False,"","",1,19
"",40.73291553,"Christopher St & Greenwich St","Christopher St & Greenwich St","","2015-12-11 11:54:34 AM",358,30,36,"","",-74.00711384,"In Service",False,"","",1,4
"",40.75510267,"E 47 St & Park Ave","E 47 St & Park Ave","","2015-12-11 11:53:58 AM",359,11,55,"","",-73.97498696,"In Service",False,"","",1,39
"",40.70717936,"William St & Pine St","William St & Pine St","","2015-12-11 11:54:31 AM",360,26,39,"","",-74.00887308,"In Service",False,"","",1,13
"",40.71605866,"Allen St & Hester St","Allen St & Hester St","","2015-12-11 11:54:40 AM",361,40,43,"","",-73.99190759,"In Service",False,"","",1,2
"",40.75172632,"Broadway & W 37 St","Broadway & W 37 St","","2015-12-11 11:54:37 AM",362,43,57,"","",-73.98753523,"In Service",False,"","",1,12
"",40.70834698,"West Thames St","West Thames St","","2015-12-11 11:54:38 AM",363,40,49,"","",-74.01713445,"In Service",False,"","",1,9
"",40.68900443,"Lafayette Ave & Classon Ave","Lafayette Ave & Classon Ave","","2015-12-11 11:51:34 AM",364,21,27,"","",-73.96023854,"In Service",False,"","",1,6
"",40.68223166,"Fulton St & Grand Ave","Fulton St & Grand Ave","","2015-12-11 11:51:22 AM",365,30,31,"","",-73.9614583,"In Service",False,"","",1,1
"",40.693261,"Clinton Ave & Myrtle Ave","Clinton Ave & Myrtle Ave","","2015-12-11 11:54:39 AM",366,33,33,"","",-73.968896,"In Service",False,"","",1,0
"",40.75828065,"E 53 St & Lexington Ave","E 53 St & Lexington Ave","","2015-12-11 11:54:37 AM",367,0,34,"","",-73.97069431,"In Service",False,"","",1,33
"",40.73038599,"Carmine St & 6 Ave","Carmine St & 6 Ave","","2015-12-11 11:54:13 AM",368,23,39,"","",-74.00214988,"In Service",False,"","",1,16
"",40.73224119,"Washington Pl & 6 Ave","Washington Pl & 6 Ave","","2015-12-11 11:51:34 AM",369,35,35,"","",-74.00026394,"In Service",False,"","",1,0
